Opinions,Drivers
"The safety feature included airbags, ebd, traction control system, esp, hill hold control, hill descent control.",Safety Features
I did take a test drive and this car is really ahead of its competitors in terms of performance.,Performance
Also a very much comfortable car for a small family.,Comfort
I have bought orcas white and it looks classy.,Looks
Its service cost also is not that high compared to other SUVs.,Cost
The sound system is extraordinary.,Infotainment System
The suv has a panoramic sunroof and is also fitted with new dual-tone alloy wheels.,Sunroof
It has large wheels and decent boot space.,Boot Space
A good SUV... best family car of the year & this is an affordable luxury car with a small amount.,Family Car
"The main reasons are 
 - pathetic build quality
 - below average service experience
 - poor brand image
 - long term reliability",Build Quality
Orvm are causing a blind spot,Safety Features
But they have to improve a little bit of transmission and engine performance.,Performance
It looks terribly out of place.,Looks
I think india production cost also very less than any other developed country but the on-road price is expensive when compared to other countries.,Cost
"Cons:
 1. pathetic infotainment system response.",Infotainment System
"But some features are missing just like a sunroof, ventilated seat etc",Ventilated Seats
"It has got a sunroof, which is awkwardly placed between the front and rear seats inaccessible to either row.",Sunroof
wireless charging must be offered because verna offers them and even creta does but harrier doesn't.,Wireless Charging
It has a very imposing road presence.,Road Presence
"Toyota car build-up quality is also good, very fun to drive, as u know in Toyota cars there is very low servicing & maintenance cost",Build Quality
Very high standard car and the tire is massive.fully electronic systems and safe car.,Safety Features
Solid car & solid performance.,Performance
Fortuner is comfortable for a long journey.,Comfort
It is as reliable as a wood stove and regular maintenance costs are fair too.,Cost
"They should work on the infotainment system, tire Tronics and some other basic features and no one will be in que to compete with them because everything else is perfect.",Infotainment System
The Fortuner is a very good SUV car for Indian roads because of its high ground clearance and very powerful engine.,Ground Clearance
Overall it feels like a good place to be in with its panoramic sunroof and black and beige interiors.,Sunroof
Large boot space is available.,Boot Space
It feels that u r driving luxury SUV good in highways and a family car with good ac smooth drive with space and 7 people can easily sit and go for a long drive,Family Car
Yah available hai wireless charging,Wireless Charging
But talking about performance and stability it just sucks!,Performance
The last row is not much comfortable.,Comfort
", it is not good looking.",Looks
"Over costly Fortuner, no sunroof and no automatically side mirror losers car",Cost
"No sunroof, which is a little disappointing.",Sunroof
A strong road presence and classy interiors are certainly the best compared to jeep compass and harrier.,Road Presence
"Jeep compass build quality, interior design, and quality are top-notch.",Build Quality
Great engine and great experience like it too much insane performance.,Performance
"Larger boot space, more comfort & bigger size.",Comfort
The headlights and shoulder line gives a masculine look.,Looks
Very affordable price.,Cost
Lovely car and that touchscreen infotainment system look futuristic.,Infotainment System
It's got higher ground clearance and superb 17 inch alloy wheels!,Ground Clearance
", boot space is good, ground clearance is good, it will help for bumpy roads, unethical speed breakers especially in Bangalore.",Boot Space
Good family car.,Family Car
"fascinating features like iconic ""tiger nose"" grills at the front, wireless charging technology etc.",Wireless Charging
Its engine performance is super ugly.,Performance
* I think it may feel some uncomfortable for 6 feet person to site in the back seat.,Comfort
Atrocious looks.,Looks
In 3 months I have gone 6 times to the service center and talking about the music system and engine noise is again a big problem.,Infotainment System
"I'm not at all interested in sun roof, ventilated seats etc.",Ventilated Seats
It has outstanding performance.,Performance
The performance of this vehicle is too good.,Performance
The safety features are impressive.,Safety Features
It doesn't even have disc brakes in rear.,Safety Features
This suv is awesome and its performance is really good.,Performance
Engine Performance of the vehicle is excellent,Performance
The most sensational panoramic sunroof has got automatic folding and unfolding cover of the glass.,Sunroof
"Wonderful in its road presence,",Road Presence
"Fabulous and nice performance, amazing.",Performance
Amazing look with awesome performance.,Performance
If you are fond of big cars and want to have a good road presence then it is the best car at this price point.,Road Presence
"Overall, it also comes with more comfort & safety features like 6 airbags, abs, esc, hac & vsm.",Safety Features
Smooth performance with an ultimate mileage will steal your heart away.,Performance
"To our delight, Hyundai readily agreed to bear 90% of the cost as a goodwill gesture.",Cost
The 10 speaker music system sound amazing.,Infotainment System
The looks of the car are amazing with good ground clearance and great mileage.,Ground Clearance
Pano sunroof made the cabin very airy and a pleasure to be in.,Sunroof
"With all 7 seats up you only get boot space just like a hatchback.
 interior",Boot Space
Best in class comfort luxury and family car love this beast.,Family Car
And its wireless charging feature is very amazing,Wireless Charging
The absence of rear parking sensors would be super crazy.,Safety Features
And yes only because of its heavyweight this car sucks at the performance.,Performance
The glossy surfaces even in the photos look really bad.,Looks
"Even though they nailed the design, to be honest, I was a little bit disappointed after I hear about no led headlights, rear drum brakes, no panoramic sunroof, no option for power seats and an electric tailgate for such an expensive price tag.",Cost
One missing feature is sunroof.,Sunroof
Fully satisfied with the performance of the car.,Performance
Performance is excellent around the corners and body roll is excellent on the highways.,Performance
But this variant misses out on major safety features.,Safety Features
The best part is its sunroof and available at an affordable price,Sunroof
The performance of this car is amazing.,Performance
Road presence is good and looks are quite modern.,Road Presence
"Better build quality 
 much better engines 
 proven the test of time",Build Quality
"In terms of basic safety features, the variant seems to be ok. It has abs, dual airbags, rear parking sensors etc.",Safety Features
the performance of the 2.0l engine was also best.,Performance
It is comfortable for a long journey.,Comfort
Great comfortable seating and excellent ground clearance getting in this car.,Ground Clearance
A panoramic sunroof with all-wheel disc brakes will certainly motivate me buying this beast.,Sunroof
"Legroom is good, boot space is better, infotainments are good, the engine is powerful",Boot Space
Nice car with excellent performance and good for adventure and family car.,Family Car
And best features like sunroof ventilated seats wireless charging side camera led tail lamp led fog lamp and i specially like air purifiers best car.,Wireless Charging
"When it comes to engine performance, the car is slightly underpowered compared to its competitors.",Performance
Driver seats are adjustable but not comfortable.,Comfort
No one is gonna put 30 lakhs for some lame looking car...,Looks
4-year service is slightly costlier.,Cost
But the price should contain a few features like a sunroof.,Sunroof
It provides great comfort and good driving experience and it comes to a powerful engine and provides a powerful performance.,Performance
"Awesome design, legendary performance",Performance
But most of the safety features are missing even in the highest variants of petrol 1.5 ivt.,Safety Features
The panoramic sunroof/moonroof is breathtaking and makes us feel good.,Sunroof
"Excellent performance, power is great, and boot space is great.",Performance
It has a lot of road presence and looks massive and quite impressive for sure.,Road Presence
We enthusiasts love the build quality and driving dynamics of the compass.,Build Quality
"The looks, the interiors, safety features- everything is mesmerizing.",Safety Features
Very comfortable SUV compared to other cars.,Comfort
It looks very cool in red,Looks
So many features are there at a low cost.,Cost
"Kids loved the features, especially the canton music system, and the expansive sun/moon roof.",Infotainment System
Excellent car with good ground clearance.,Ground Clearance
New create sunroof car is super SUV.,Sunroof
"This car has amazing performance, leg space, boot space is amazing.",Boot Space
Excellent car performance best and look five stars???? average car best off-roading best car family pack car another car 15 lakhs best car city and villages,Family Car
"A true Chinese product, you will be lured by beauty but actual performance is poor.",Performance
"Space of compass is enough for 5 people, but the rear seats are uncomfortably vertical, causing pains and cramps in the abdomen for a bit fat people on long drives.",Comfort
It looks really bad and fit is even worse.,Looks
Hyundai has to cut down service costs.,Cost
"Also, conventional headlamps are provided with this variant and there's no sunroof on offer.",Sunroof
"Awesome design, amazing features and high performance.",Performance
The sunroof makes us being the best view of nature.,Sunroof
The performance is magnificent.,Performance
It has some good list of features and most importantly has a tempting road presence that every Indian car buyer always wants.,Road Presence
"Price is little over for top-end model
 good ride quality 
 built quality is awesome.",Build Quality
Powerful engine and safety features are enhancing the car.,Safety Features
"The car is very spacious and luxurious, it is well designed and gives you a very high performance,",Performance
Overall driving was comfortable given a lot of equipment has been used to smoothen your ride.,Comfort
"Mg hector is such a comfortable car, and its look is fantastic.",Looks
The bose sound system sounded good with some FM radio songs.,Infotainment System
Perfect ground clearance.,Ground Clearance
the thing that is loved is a big panorama sunroof,Sunroof
Boot space is also nice.,Boot Space
"It is the perfect family car in India under 20 lakhs, it comes with really great exterior and interior.",Family Car
Looks like the trailhawk is missing the front parking sensors and the beats audio available on their international trims.,Safety Features
The performance is really very poor.,Performance
It does look hideous and unappealing in the images.,Looks
"Tata should work on this .....spending 15lac above for unrefined engine and bad insulation is not worthy.
 for design and space its worthy
 but not in the cost of refinement",Cost
"I have changed all five doors due to rust, replaced sunroof motor.",Sunroof
The performance is really nice.,Performance
Its road presence is awesome and the interior is very good.,Road Presence
It is a very safe car with solid chassis and 7 airbag like features.,Safety Features
While long drive it feels like no jerking and very smooth performance.,Performance
The seating is really comforting.,Comfort
"The music system is nice, but not as nice as the MGs.",Infotainment System
The height of the car and the ground clearance is superb for Indian roads.,Ground Clearance
Boot space is quite good and must be on par with creta.,Boot Space
Mg hector is going to be the best car under 20lk and the best family tour car too.,Family Car
Just the looks given in the car but performance is very poor.,Performance
"Comfort levels on uneven roads is a little jolty I don't like the way the car undulates, the suspension setting is on the harder side.",Comfort
The panel behind the wheel looks ugly and out of place from outside,Looks
But this isn't expected with the harrier considering its price range and the #aboveall marketing.,Cost
The motion of the sunroof is not smooth visually.,Sunroof
The engine performance is good.,Performance
It has great big looking stunning design in a compact form and it has a great road presence that feels badass to be owned.,Road Presence
Excellent build quality which offers better protection to occupants.,Build Quality
The traction control is tremendous.,Safety Features
When we talk about the comfort and performance this car gets a 2.2 l engine which is giving so high power to the car.,Performance
Such a comfortable seating.,Comfort
And yes they put it on the right price tag,Cost
"The touch screen infotainment system and the speaker's output is amazing, the tires should be improved.",Infotainment System
Has excellent ground clearance and a luxurious interior.,Ground Clearance
It stands apart and my favorite is its electric sunroof which opens with the human voice.,Sunroof
The boot space is quite good.,Boot Space
It's a perfect family car.,Family Car
No tyre pressure monitoring system: this is a good safety feature especially for them who fail to recognize if their tyre has low or no air.,Safety Features
I reduced the psi to 33.5 on all tires still not very comfortable.,Comfort
The front looks shit,Looks
"If you want to go for the compass limited plus model which has a panoramic sunroof, expect it to be much hotter as the entire roof is of glass with a cloth-like thin screen underneath.",Sunroof
The performance of the car is really good including its interior and exterior.,Performance
"I found it to be a great overall package, with a great engine and excellent interior space and good road presence.",Road Presence
Value for money awesome this is value for money superpower and build quality this is a fortune to own a Fortuner I would recommend you to buy this .it gives fair milage,Build Quality
"The model comes fully loaded with features like 6 airbags, esp, abs, traction control, esc and isofix anchor points.",Safety Features
It has very new looks and has a fantastic performance.,Performance
The steering is light and comfortable for a long journey.,Comfort
"Looks nice, especially in the night.",Looks
The most important part is its service n maintenance cost is too low...,Cost
"It is good looking car from exterior and interiorexcellent music system and auto gear shift also a new type of speedometer 
 sunroof feature is also very nice and this car is having comfortableseats ..",Infotainment System
"Excellent ground clearance, sturdy looks and feels like a king when steering in the highway as well as the city.",Ground Clearance
The car has a sunroof that is so cool.,Sunroof
The boot space is really good.,Boot Space
"So, in the end, I would like to say it’s a perfect family car.",Family Car
It's nothing compared to its rivals... interiors are great...but it lacks far behind when it comes to exterior looks...,Looks
So the base ex-showroom sticker price + extra tax % + extra registration % + extra insurance premium % altogether will result in an overall higher price hike compared to just the cost of the engine+exhaust components.,Cost
i found the sunroof to have the maximum appeal as well as the most vulnerable as far as part failure is concerned.,Sunroof
The car is amazing and has a great performance.,Performance
The front grill helps this car to get an amazing road presence.,Road Presence
The built quality is nice.,Build Quality
Reverse camera resolution & clarity is good enough even at night.,Safety Features
It has a powerful engine as well as powerful performance.,Performance
Smooth and comfortable long drives.,Comfort
"Good car, fabulous model, fantastic interiors, and unbelievable SUV.",Looks
"But the cost is the main factor, overall great.",Cost
The car is very comfortable to drive with a good music system.,Infotainment System
Best view and ground clearance is perfect,Ground Clearance
sunroof and wireless phone charging is also a unique smart feature,Sunroof
The boot space is remarkable.,Boot Space
It is perfect family car.,Family Car
Full of electronics but very poor mechanical comfort.,Comfort
But it looks short on height and narrow,Looks
Servicing and maintenance: maintenance cost is not much high.,Cost
Good performance in the suv class.,Performance
Has a very good road presence looks even better than many cars on the road and it will make you feel like the boss of the road.,Road Presence
Build quality is also amazing......,Build Quality
A massive suv in the indian market after a long time with excellent performance.,Performance
"Overall, very comfortable.",Comfort
Looking so stylish and a new generation SUV car today.,Looks
This is one of the best SUV segment cars available at an affordable price range as it provides a touchscreen infotainment system with jbl speakers.,Infotainment System
It is best in ground clearance.,Ground Clearance
"There is a new feature of a panoramic sunroof, looks amazing.",Sunroof
"Nice car with good looks, best price best in class boot space.",Boot Space
The length of the back seat is less and there's no sitting comfort.,Comfort
But the interior is outdated and doesn't really give it mordern look.,Looks
"From what I know, you can get a black roof and xenon lamps installed from outside for a lesser cost.",Cost
The sunroof was squealing and squeaking as i commanded it to open! was really evident.,Sunroof
"The car performance is superb, good pick up and attractive look.",Performance
Low maintenance cost than other SUVs.,Cost
The worlds first air purifier along with the head-up display and ventilated seats are a big talking point of the seltos which can make anyone say wow.,Ventilated Seats
The car has a large panoramic sunroof in which at least 3 kids can stand easily.,Sunroof
The car mood lighting is linked to music,Mood Lights
20 lacs for this vehicle is absurd if we go by sheer road presence.,Road Presence
"Diesel auto will miss out on side and curtain airbags, 360 camera, blind spot monitor, heads-up display.",Safety Features
"Worst car no performance, its just for looks.",Performance
"Yes, very poor under-thigh support.",Comfort
For jeep compass 1 thousand dislikes I hate this car it's very costly,Cost
#NAME?,Infotainment System
Doors are heavy but one drawback is the ground clearance,Ground Clearance
"Ventilated seats, especially on the htx+ were a bit too soft for my liking.",Ventilated Seats
Led sound mood lights flicker a lot and are very distracting.,Mood Lights
"An excellent car to drive, super stability and road presence.",Road Presence
The safety features are amazing.,Safety Features
looks and performance are excellent.,Performance
The seats are pretty comfortable.,Comfort
It is better looks and better performance.,Looks
Very comfortable seats with large leg space between the seats. and boot space is also huge.,Boot Space
"Last month I have some issues with the wireless charger of my creta but with only one trip to the Hyundai service area, my problem was fixed",Wireless Charging
The exteriors look horrible.,Looks
So it's a little bit costly.,Cost
1.the car comes with fewer features even I base model there is no music system.,Infotainment System
no written documentation found regarding Creta's boot space though.,Boot Space
"Wireless charging pad) a boon, i am glad that i don't have it, mainly because:
 1) i don't have wireless charging in my phone.",Wireless Charging
The car is very spacious and very comfortable in terms of driving and seating on a rear seat.,Comfort
"The car looks stunning, period.",Looks
That sunroof is sweet!,Sunroof
"A couple of months before they launched the latest trims with panoramic sunroof and wireless charger etc. since my family is very happy with the car, we decided to take the plunge once again",Wireless Charging
The civic is too low and the rear seat is claustrophobic with less thigh support.,Comfort
"Tiguan's quite high in price and looks a bit dull, according to me.",Looks
"It has excellent road presence, good looks.",Road Presence
"The build quality is commendable (both exterior and interior), far better than cars in the same segment.",Build Quality
Love the safety features,Safety Features
the jeep put a smile on my face with its performance.,Performance
"Ultimate design, ultimate feature, comfortable seats and price",Comfort
It looks so good!,Looks
Jeep India replaced the burst tire free of cost as a goodwill gesture.,Cost
The car sound system is very perfect.,Infotainment System
So I know pricing is tough when performance cannot be compromised.,Performance
By it’s uncomfortable,Comfort
I found the blind spot monitor to be the most useful feature.,Safety Features
I sat in the back for a short while and could feel the bumps a lot even though the seating was comfortable.,Comfort
"Saw a few pictures on twitter, the red and black car looks stunning!",Looks
Though this cost impact is not prohibitively high considering the utility.,Cost
It was an automatic with sunroof and all the buttons near the gear lever were 'real' (not dummy).,Sunroof
Huge boot space,Boot Space
> wireless charging was good to have and its a 10w fast charger so helps a lot.,Wireless Charging
1. build quality definitely not better than Creta.,Build Quality
Needs blind-spot monitoring and adaptive cruise control,Safety Features
Worstcar no performance.its just for look,Performance
.. Tiguan has fewer features high cost....interiors look premium in seltos.,Cost
"The cladding around the sunroof (interior), stitching and finishing were altogether a little disappointing.",Sunroof
"Case in point, my linea's boot space is 500 liters but it feels at least 1.5 times what the seltos felt.",Boot Space
Car quality is looking very good,Build Quality
"Outstanding performance, luxury interiors, excellent features, exciting safety measure and big in size.",Performance
"Car is very impressive, comfortable, safe and powerful.",Comfort
This car looks very attractive I love this car and they give u more power and advanced features,Looks
"I love this car 
 low cost, nice interior design",Cost
"Amazing features including some first in class like 360° camera, ventilated seats.",Ventilated Seats
"If the height of the Alturas isn't enough to comfortably accommodate me, something is wrong.",Comfort
The main pros of xuv is the looks and the road presence,Road Presence
The looks are nice.,Looks
Powerful pack with a suitable pocket cost.,Cost
And the sound system is the best thing in this car.,Infotainment System
Good ground clearance.,Ground Clearance
This car is verycomfortable and the sunroof is a very good and nice look,Sunroof
Good performance feel like a king ride balancing is a too good family car with a comfortable interior is so good car shape,Family Car
Mahindra xuv500 has a very powerful engine but built quality not perfect also other parts like breaking system is very poor.,Build Quality
"Rattles keep coming up from all over the body, specifically the left side,
 8. under-thigh support in the seats is less, which may lead to fatigue in long journeys for taller drivers,
 9.",Comfort
"The clock in the music system frequently gets misaligned, giving wrong times,
 15.",Infotainment System
The boot space is very limited when all the 7 seats are up.,Boot Space
No other SUV has this many safety features in the base model.,Safety Features
There is not a single doubt on the performance.,Performance
"Awesome looking stylish, my dream car, there is none in the competition in this price range.",Cost
The inbuilt sound system provided by the company has an ideal sound effect and base with voice clarity.,Infotainment System
"The only feedback is, sunroof is not there, best in the class SUV, very comfortable, ground clearance is also very good, interiors are such awesome.",Ground Clearance
The hector has a large panoramic sunroof in which at least 3 kids can stand easily.,Sunroof
Car is having a large boot space and available at a different price range.,Boot Space
Hector is a good family car according to me.,Family Car
The build quality was appalling when I sat in the international model(which was btw in mint condition supposedly),Build Quality
"A lot of negatives than positives, but one thing the system is performing poorly.",Performance
